id,rating,series_id,reviewer_id
1,8.0,1,1
2,7.5,1,2
3,8.5,1,3
4,7.7,1,4
5,8.9,1,5
6,8.1,2,1
7,6.0,2,4
8,8.0,2,3
9,8.4,2,6
10,9.9,2,5
11,7.0,3,1
12,7.5,3,6
13,8.0,3,4
14,7.1,3,3
15,8.0,3,5
16,7.5,4,1
17,7.8,4,3
18,8.3,4,4
19,7.6,4,2
20,8.5,4,5
21,9.5,5,1
22,9.0,5,3
23,9.1,5,4
24,9.3,5,2
25,9.9,5,5
26,6.5,6,2
27,7.8,6,3
28,8.8,6,4
29,8.4,6,2
30,9.1,6,5
31,9.1,7,2
32,9.7,7,5
33,8.5,8,4
34,7.8,8,2
35,8.8,8,6
36,9.3,8,5
37,5.5,9,2
38,6.8,9,3
39,5.8,9,4
40,4.3,9,6
41,4.5,9,5
42,9.9,10,5
43,8.0,13,3
44,7.2,13,4
45,8.5,14,2
46,8.9,14,3
47,8.9,14,4
